"analyte","NRM","scenario","parameter_groups","signif","no_terms"
"PN_SHIM_QAQC","wtsndys","Pre-2015-S3","Seasonal",1,2
"PN_SHIM_QAQC","wtsndys","Pre-2015-S3","Sites",0,2
"PN_SHIM_QAQC","wtsndys","Pre-2015-S3","Trend",0,1
"PP_QAQC","burdekin","Post-2015","Intercept",2,2
"PP_QAQC","burdekin","Post-2015","Seasonal",0,2
"PP_QAQC","burdekin","Post-2015","Sites",3,5
"PP_QAQC","burdekin","Post-2015","Trend",0,1
"PP_QAQC","burdekin","Pre-2015","Intercept",1,1
"PP_QAQC","burdekin","Pre-2015","Seasonal",1,2
"PP_QAQC","burdekin","Pre-2015","Sites",2,2
"PP_QAQC","burdekin","Pre-2015","Trend",0,1
"PP_QAQC","burdekin","Pre-2015-S1","Intercept",1,1
"PP_QAQC","burdekin","Pre-2015-S1","Seasonal",1,2
"PP_QAQC","burdekin","Pre-2015-S1","Sites",1,2
"PP_QAQC","burdekin","Pre-2015-S1","Trend",0,1
"PP_QAQC","burdekin","Pre-2015-S2","Intercept",1,1
"PP_QAQC","burdekin","Pre-2015-S2","Seasonal",1,2
"PP_QAQC","burdekin","Pre-2015-S2","Sites",2,2
"PP_QAQC","burdekin","Pre-2015-S2","Trend",0,1
"PP_QAQC","burdekin","Pre-2015-S3","Intercept",1,1
"PP_QAQC","burdekin","Pre-2015-S3","Seasonal",1,2
"PP_QAQC","burdekin","Pre-2015-S3","Sites",1,2
"PP_QAQC","burdekin","Pre-2015-S3","Trend",0,1
"PP_QAQC","russ_mull","Post-2015","Intercept",2,2
"PP_QAQC","russ_mull","Post-2015","Seasonal",1,2
"PP_QAQC","russ_mull","Post-2015","Sites",1,4
"PP_QAQC","russ_mull","Post-2015","Trend",0,1
"PP_QAQC","russ_mull","Pre-2015","Intercept",1,1
"PP_QAQC","russ_mull","Pre-2015","Seasonal",1,2
"PP_QAQC","russ_mull","Pre-2015","Sites",1,2
"PP_QAQC","russ_mull","Pre-2015","Trend",0,1
"PP_QAQC","russ_mull","Pre-2015-S1","Intercept",1,1
"PP_QAQC","russ_mull","Pre-2015-S1","Seasonal",1,2
"PP_QAQC","russ_mull","Pre-2015-S1","Sites",0,2
"PP_QAQC","russ_mull","Pre-2015-S1","Trend",0,1
"PP_QAQC","russ_mull","Pre-2015-S2","Intercept",1,1
"PP_QAQC","russ_mull","Pre-2015-S2","Seasonal",1,2
"PP_QAQC","russ_mull","Pre-2015-S2","Sites",1,2
"PP_QAQC","russ_mull","Pre-2015-S2","Trend",0,1
"PP_QAQC","russ_mull","Pre-2015-S3","Intercept",1,1
"PP_QAQC","russ_mull","Pre-2015-S3","Seasonal",1,2
"PP_QAQC","russ_mull","Pre-2015-S3","Sites",1,2
"PP_QAQC","russ_mull","Pre-2015-S3","Trend",0,1
"PP_QAQC","tully","Post-2015","Intercept",2,2
"PP_QAQC","tully","Post-2015","Seasonal",1,2
"PP_QAQC","tully","Post-2015","Sites",5,5
"PP_QAQC","tully","Post-2015","Trend",0,1
"PP_QAQC","tully","Pre-2015","Intercept",1,1
"PP_QAQC","tully","Pre-2015","Seasonal",0,2
"PP_QAQC","tully","Pre-2015","Trend",0,1
"PP_QAQC","tully","Pre-2015-S1","Intercept",1,1
"PP_QAQC","tully","Pre-2015-S1","Seasonal",0,2
"PP_QAQC","tully","Pre-2015-S1","Trend",0,1
"PP_QAQC","tully","Pre-2015-S2","Intercept",1,1
"PP_QAQC","tully","Pre-2015-S2","Seasonal",0,2
"PP_QAQC","tully","Pre-2015-S2","Trend",0,1
"PP_QAQC","tully","Pre-2015-S3","Intercept",1,1
"PP_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"PP_QAQC","tully","Pre-2015-S3","Trend",0,1
"PP_QAQC","wtsndys","Post-2015","Intercept",1,1
"PP_QAQC","wtsndys","Post-2015","Seasonal",1,2
"PP_QAQC","wtsndys","Post-2015","Sites",2,4
"PP_QAQC","wtsndys","Post-2015","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015","Trend",1,1
"PP_QAQC","wtsndys","Pre-2015-S1","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S1","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S1","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S1","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015-S2","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S2","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S2","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S2","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015-S3","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S3","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S3","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S3","Trend",1,1
"SECCHI_DEPTH","burdekin","Post-2015","Intercept",2,2
"SECCHI_DEPTH","burdekin","Post-2015","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Post-2015","Sites",5,5
"SECCHI_DEPTH","burdekin","Post-2015","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Trend",0,1
"SECCHI_DEPTH","russ_mull","Post-2015","Intercept",2,2
"SECCHI_DEPTH","russ_mull","Post-2015","Seasonal",1,2
"SECCHI_DEPTH","russ_mull","Post-2015","Sites",1,4
"SECCHI_DEPTH","russ_mull","Post-2015","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015","Sites",1,2
"SECCHI_DEPTH","russ_mull","Pre-2015","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Sites",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Sites",1,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Sites",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Trend",0,1
"SECCHI_DEPTH","tully","Post-2015","Intercept",2,2
"SECCHI_DEPTH","tully","Post-2015","Seasonal",1,2
"SECCHI_DEPTH","tully","Post-2015","Sites",5,5
"SECCHI_DEPTH","tully","Post-2015","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","tully","Pre-2015","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","tully","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","tully","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","tully","Pre-2015-S3","Trend",0,1
"SECCHI_DEPTH","wtsndys","Post-2015","Intercept",1,1
"SECCHI_DEPTH","wtsndys","Post-2015","Seasonal",0,2
"SECCHI_DEPTH","wtsndys","Post-2015","Sites",2,4
"SECCHI_DEPTH","wtsndys","Post-2015","Trend",0,1
"SECCHI_DEPTH","wtsndys","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","wtsndys","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015","Sites",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015","Trend",1,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S1","Sites",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S2","Sites",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","wtsndys","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S3","Sites",0,2
"SECCHI_DEPTH","wtsndys","Pre-2015-S3","Trend",0,1
"SS_QAQC","burdekin","Post-2015","Intercept",1,2
"SS_QAQC","burdekin","Post-2015","Seasonal",0,2
"SS_QAQC","burdekin","Post-2015","Sites",4,5
"SS_QAQC","burdekin","Post-2015","Trend",0,1
"SS_QAQC","burdekin","Pre-2015","Intercept",0,1
"SS_QAQC","burdekin","Pre-2015","Seasonal",0,2
"SS_QAQC","burdekin","Pre-2015","Sites",1,2
"SS_QAQC","burdekin","Pre-2015","Trend",0,1
"SS_QAQC","burdekin","Pre-2015-S1","Intercept",0,1
"SS_QAQC","burdekin","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","burdekin","Pre-2015-S1","Sites",1,2
"SS_QAQC","burdekin","Pre-2015-S1","Trend",1,1
"SS_QAQC","burdekin","Pre-2015-S2","Intercept",0,1
"SS_QAQC","burdekin","Pre-2015-S2","Seasonal",1,2
"SS_QAQC","burdekin","Pre-2015-S2","Sites",1,2
"SS_QAQC","burdekin","Pre-2015-S2","Trend",0,1
"SS_QAQC","burdekin","Pre-2015-S3","Intercept",0,1
"SS_QAQC","burdekin","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","burdekin","Pre-2015-S3","Sites",0,2
"SS_QAQC","burdekin","Pre-2015-S3","Trend",0,1
"SS_QAQC","russ_mull","Post-2015","Intercept",1,2
"SS_QAQC","russ_mull","Post-2015","Seasonal",2,2
"SS_QAQC","russ_mull","Post-2015","Sites",2,4
"SS_QAQC","russ_mull","Post-2015","Trend",1,1
"SS_QAQC","russ_mull","Pre-2015","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015","Trend",0,1
"SS_QAQC","russ_mull","Pre-2015-S1","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015-S1","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015-S1","Trend",0,1
"SS_QAQC","russ_mull","Pre-2015-S2","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015-S2","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015-S2","Trend",0,1
"SS_QAQC","russ_mull","Pre-2015-S3","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015-S3","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015-S3","Trend",0,1
"SS_QAQC","tully","Post-2015","Intercept",2,2
"SS_QAQC","tully","Post-2015","Seasonal",1,2
"SS_QAQC","tully","Post-2015","Sites",5,5
"SS_QAQC","tully","Post-2015","Trend",0,1
"SS_QAQC","tully","Pre-2015","Intercept",0,1
"SS_QAQC","tully","Pre-2015","Seasonal",0,2
"SS_QAQC","tully","Pre-2015","Trend",0,1
"SS_QAQC","tully","Pre-2015-S1","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S1","Trend",0,1
"SS_QAQC","tully","Pre-2015-S2","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S2","Trend",0,1
"SS_QAQC","tully","Pre-2015-S3","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S3","Trend",0,1
"SS_QAQC","wtsndys","Post-2015","Intercept",0,1
"SS_QAQC","wtsndys","Post-2015","Seasonal",0,2
"SS_QAQC","wtsndys","Post-2015","Sites",1,4
"SS_QAQC","wtsndys","Post-2015","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S1","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S1","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S1","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S2","Intercept",1,1
"SS_QAQC","wtsndys","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S2","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S2","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S3","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S3","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S3","Trend",0,1
